sqrt(2) = [ 1; (2) ]
sqrt(4925) = [ 70; (5, 1, 1, 1, 1, 5, 140) ]
sqrt(4926) = [ 70; (5, 2, 1, 1, 4, 4, 27, 1, 5, 7, 4, 1, 1, 5, 1, 4, 1, 3, 3, 2, 1, 22, 1, 2, 3, 3, 1, 4, 1, 5, 1, 1, 4, 7, 5, 1, 27, 4, 4, 1, 1, 2, 5, 140) ]
sqrt(4927) = [ 70; (5, 5, 5, 140) ]
sqrt(4928) = [ 70; (5, 140) ]
sqrt(4929) = [ 70; (4, 1, 5, 19, 1, 7, 1, 4, 1, 2, 1, 2, 7, 1, 8, 2, 12, 3, 2, 3, 12, 2, 8, 1, 7, 2, 1, 2, 1, 4, 1, 7, 1, 19, 5, 1, 4, 140) ]
sqrt(4930) = [ 70; (4, 1, 2, 15, 4, 15, 2, 1, 4, 140) ]
sqrt(4931) = [ 70; (4, 1, 1, 10, 4, 27, 1, 5, 2, 2, 1, 1, 2, 4, 2, 5, 5, 1, 11, 1, 13, 8, 5, 3, 1, 1, 1, 1, 69, 1, 1, 1, 1, 3, 5, 8, 13, 1, 11, 1, 5, 5, 2, 4, 2, 1, 1, 2, 2, 5, 1, 27, 4, 10, 1, 1, 4, 140) ]
sqrt(4932) = [ 70; (4, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 12, 4, 1, 14, 1, 4, 12, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 4, 140) ]
sqrt(4933) = [ 70; (4, 4, 140) ]
sqrt(4934) = [ 70; (4, 8, 70, 8, 4, 140) ]
sqrt(4935) = [ 70; (4, 140) ]
sqrt(4936) = [ 70; (3, 1, 8, 1, 1, 1, 1, 1, 1, 2, 1, 4, 3, 2, 1, 1, 3, 1, 16, 1, 3, 1, 1, 2, 3, 4, 1, 2, 1, 1, 1, 1, 1, 1, 8, 1, 3, 140) ]
sqrt(4937) = [ 70; (3, 1, 3, 1, 3, 1, 1, 1, 1, 19, 2, 6, 1, 9, 1, 16, 1, 1, 1, 12, 8, 1, 2, 2, 1, 1, 1, 4, 4, 1, 1, 1, 2, 2, 1, 8, 12, 1, 1, 1, 16, 1, 9, 1, 6, 2, 19, 1, 1, 1, 1, 3, 1, 3, 1, 3, 140) ]
sqrt(4938) = [ 70; (3, 1, 2, 4, 5, 1, 7, 2, 2, 1, 22, 1, 2, 2, 7, 1, 5, 4, 2, 1, 3, 140) ]
sqrt(4939) = [ 70; (3, 1, 1, 2, 12, 2, 1, 1, 3, 140) ]
sqrt(4940) = [ 70; (3, 1, 1, 34, 1, 1, 3, 140) ]
sqrt(4941) = [ 70; (3, 2, 2, 1, 2, 3, 1, 1, 6, 2, 6, 1, 1, 3, 2, 1, 2, 2, 3, 140) ]
sqrt(4942) = [ 70; (3, 2, 1, 14, 1, 11, 1, 5, 2, 7, 2, 1, 6, 70, 6, 1, 2, 7, 2, 5, 1, 11, 1, 14, 1, 2, 3, 140) ]
sqrt(4943) = [ 70; (3, 3, 1, 4, 12, 1, 1, 2, 1, 10, 9, 1, 19, 5, 2, 1, 3, 1, 5, 1, 1, 1, 1, 7, 1, 1, 1, 69, 1, 1, 1, 7, 1, 1, 1, 1, 5, 1, 3, 1, 2, 5, 19, 1, 9, 10, 1, 2, 1, 1, 12, 4, 1, 3, 3, 140) ]
sqrt(4944) = [ 70; (3, 5, 3, 2, 2, 1, 1, 3, 1, 2, 11, 2, 1, 3, 1, 1, 2, 2, 3, 5, 3, 140) ]
sqrt(4945) = [ 70; (3, 8, 2, 5, 2, 1, 1, 2, 1, 5, 7, 4, 2, 1, 1, 15, 28, 15, 1, 1, 2, 4, 7, 5, 1, 2, 1, 1, 2, 5, 2, 8, 3, 140) ]
sqrt(4946) = [ 70; (3, 19, 1, 3, 5, 2, 1, 2, 7, 1, 9, 6, 70, 6, 9, 1, 7, 2, 1, 2, 5, 3, 1, 19, 3, 140) ]
sqrt(4947) = [ 70; (2, 1, 69, 1, 2, 140) ]
sqrt(4948) = [ 70; (2, 1, 12, 8, 5, 11, 1, 1, 8, 3, 1, 2, 5, 1, 3, 15, 2, 1, 2, 3, 1, 8, 46, 1, 3, 1, 1, 3, 1, 2, 2, 2, 1, 1, 34, 1, 1, 2, 2, 2, 1, 3, 1, 1, 3, 1, 46, 8, 1, 3, 2, 1, 2, 15, 3, 1, 5, 2, 1, 3, 8, 1, 1, 11, 5, 8, 12, 1, 2, 140) ]
sqrt(4949) = [ 70; (2, 1, 6, 2, 1, 2, 1, 1, 2, 3, 2, 2, 2, 3, 2, 1, 1, 2, 1, 2, 6, 1, 2, 140) ]
sqrt(4950) = [ 70; (2, 1, 4, 5, 2, 2, 2, 2, 2, 5, 4, 1, 2, 140) ]
sqrt(4951) = [ 70; (2, 1, 3, 27, 1, 6, 1, 5, 1, 4, 1, 3, 2, 3, 2, 1, 3, 3, 12, 2, 19, 1, 1, 1, 1, 1, 8, 1, 3, 8, 46, 1, 3, 1, 2, 2, 8, 1, 22, 1, 1, 3, 1, 1, 1, 2, 4, 3, 4, 1, 9, 4, 6, 6, 1, 1, 5, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 14, 1, 13, 7, 2, 1, 69, 1, 2, 7, 13, 1, 14, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 5, 1, 1, 6, 6, 4, 9, 1, 4, 3, 4, 2, 1, 1, 1, 3, 1, 1, 22, 1, 8, 2, 2, 1, 3, 1, 46, 8, 3, 1, 8, 1, 1, 1, 1, 1, 19, 2, 12, 3, 3, 1, 2, 3, 2, 3, 1, 4, 1, 5, 1, 6, 1, 27, 3, 1, 2, 140) ]
sqrt(4952) = [ 70; (2, 1, 2, 3, 17, 3, 2, 1, 2, 140) ]
sqrt(4953) = [ 70; (2, 1, 1, 1, 5, 2, 46, 2, 5, 1, 1, 1, 2, 140) ]
sqrt(4954) = [ 70; (2, 1, 1, 2, 140) ]
sqrt(4955) = [ 70; (2, 1, 1, 4, 3, 1, 12, 28, 12, 1, 3, 4, 1, 1, 2, 140) ]
sqrt(4956) = [ 70; (2, 1, 1, 34, 1, 1, 2, 140) ]
sqrt(4957) = [ 70; (2, 2, 6, 3, 3, 1, 1, 2, 7, 46, 1, 4, 19, 1, 10, 1, 3, 1, 1, 1, 2, 15, 3, 1, 2, 1, 5, 1, 34, 2, 1, 5, 2, 4, 1, 3, 10, 1, 1, 3, 11, 2, 4, 1, 1, 4, 2, 11, 3, 1, 1, 10, 3, 1, 4, 2, 5, 1, 2, 34, 1, 5, 1, 2, 1, 3, 15, 2, 1, 1, 1, 3, 1, 10, 1, 19, 4, 1, 46, 7, 2, 1, 1, 3, 3, 6, 2, 2, 140) ]
sqrt(4958) = [ 70; (2, 2, 2, 1, 1, 1, 19, 2, 19, 1, 1, 1, 2, 2, 2, 140) ]
sqrt(4959) = [ 70; (2, 2, 1, 1, 1, 2, 2, 140) ]
sqrt(4960) = [ 70; (2, 2, 1, 14, 1, 14, 1, 2, 2, 140) ]
sqrt(4961) = [ 70; (2, 3, 3, 4, 4, 5, 1, 7, 1, 27, 3, 2, 17, 5, 1, 1, 2, 1, 2, 1, 2, 1, 1, 5, 17, 2, 3, 27, 1, 7, 1, 5, 4, 4, 3, 3, 2, 140) ]
sqrt(4962) = [ 70; (2, 3, 1, 3, 2, 1, 2, 1, 2, 1, 7, 1, 1, 4, 70, 4, 1, 1, 7, 1, 2, 1, 2, 1, 2, 3, 1, 3, 2, 140) ]
sqrt(4963) = [ 70; (2, 4, 2, 1, 3, 2, 4, 1, 46, 6, 1, 2, 4, 1, 6, 1, 1, 1, 1, 15, 20, 15, 1, 1, 1, 1, 6, 1, 4, 2, 1, 6, 46, 1, 4, 2, 3, 1, 2, 4, 2, 140) ]
sqrt(4964) = [ 70; (2, 5, 7, 4, 3, 1, 3, 1, 1, 1, 3, 2, 1, 1, 1, 1, 34, 1, 1, 1, 1, 2, 3, 1, 1, 1, 3, 1, 3, 4, 7, 5, 2, 140) ]
sqrt(4965) = [ 70; (2, 6, 4, 1, 2, 2, 1, 1, 12, 4, 2, 6, 1, 34, 2, 1, 2, 1, 3, 3, 2, 1, 8, 1, 2, 3, 3, 1, 2, 1, 2, 34, 1, 6, 2, 4, 12, 1, 1, 2, 2, 1, 4, 6, 2, 140) ]
sqrt(4966) = [ 70; (2, 7, 1, 3, 1, 4, 2, 2, 1, 4, 1, 2, 2, 4, 1, 3, 1, 7, 2, 140) ]
sqrt(4967) = [ 70; (2, 10, 2, 1, 9, 2, 1, 1, 3, 1, 19, 2, 1, 4, 1, 2, 1, 69, 1, 2, 1, 4, 1, 2, 19, 1, 3, 1, 1, 2, 9, 1, 2, 10, 2, 140) ]
sqrt(4968) = [ 70; (2, 15, 6, 15, 2, 140) ]
sqrt(4969) = [ 70; (2, 27, 1, 2, 3, 5, 2, 1, 16, 1, 14, 1, 2, 1, 1, 2, 2, 1, 2, 1, 10, 8, 1, 2, 1, 1, 4, 1, 1, 1, 5, 4, 2, 1, 2, 3, 4, 9, 6, 46, 1, 4, 1, 8, 1, 1, 3, 3, 1, 1, 8, 1, 4, 1, 46, 6, 9, 4, 3, 2, 1, 2, 4, 5, 1, 1, 1, 4, 1, 1, 2, 1, 8, 10, 1, 2, 1, 2, 2, 1, 1, 2, 1, 14, 1, 16, 1, 2, 5, 3, 2, 1, 27, 2, 140) ]
sqrt(4970) = [ 70; (2, 140) ]
sqrt(4971) = [ 70; (1, 1, 46, 1, 1, 140) ]
sqrt(4972) = [ 70; (1, 1, 19, 1, 1, 1, 4, 2, 1, 1, 1, 34, 1, 1, 1, 2, 4, 1, 1, 1, 19, 1, 1, 140) ]
sqrt(4973) = [ 70; (1, 1, 12, 3, 7, 1, 34, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 34, 1, 7, 3, 12, 1, 1, 140) ]
sqrt(4974) = [ 70; (1, 1, 8, 1, 9, 5, 1, 1, 5, 1, 1, 2, 2, 1, 27, 1, 1, 46, 1, 1, 27, 1, 2, 2, 1, 1, 5, 1, 1, 5, 9, 1, 8, 1, 1, 140) ]
sqrt(4975) = [ 70; (1, 1, 6, 1, 11, 1, 22, 1, 1, 2, 3, 4, 1, 1, 3, 15, 2, 1, 1, 4, 1, 4, 1, 4, 1, 1, 2, 15, 3, 1, 1, 4, 3, 2, 1, 1, 22, 1, 11, 1, 6, 1, 1, 140) ]
sqrt(4976) = [ 70; (1, 1, 5, 1, 1, 1, 2, 1, 1, 3, 1, 4, 1, 6, 4, 2, 2, 8, 2, 2, 4, 6, 1, 4, 1, 3, 1, 1, 2, 1, 1, 1, 5, 1, 1, 140) ]
sqrt(4977) = [ 70; (1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 7, 1, 2, 8, 2, 8, 2, 1, 7, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 140) ]
sqrt(4978) = [ 70; (1, 1, 4, 19, 1, 14, 1, 2, 1, 2, 7, 2, 9, 1, 1, 1, 1, 3, 70, 3, 1, 1, 1, 1, 9, 2, 7, 2, 1, 2, 1, 14, 1, 19, 4, 1, 1, 140) ]
sqrt(4979) = [ 70; (1, 1, 3, 1, 1, 7, 1, 2, 1, 4, 1, 9, 3, 1, 13, 2, 1, 4, 5, 4, 1, 2, 13, 1, 3, 9, 1, 4, 1, 2, 1, 7, 1, 1, 3, 1, 1, 140) ]
sqrt(4980) = [ 70; (1, 1, 3, 8, 1, 1, 6, 1, 1, 8, 3, 1, 1, 140) ]
sqrt(4981) = [ 70; (1, 1, 2, 1, 3, 1, 1, 3, 2, 8, 1, 34, 2, 1, 1, 6, 8, 6, 1, 1, 2, 34, 1, 8, 2, 3, 1, 1, 3, 1, 2, 1, 1, 140) ]
sqrt(4982) = [ 70; (1, 1, 2, 1, 1, 140) ]
sqrt(4983) = [ 70; (1, 1, 2, 3, 1, 3, 23, 3, 1, 3, 2, 1, 1, 140) ]
sqrt(4984) = [ 70; (1, 1, 2, 15, 3, 2, 6, 1, 1, 1, 2, 2, 1, 4, 1, 16, 1, 4, 1, 2, 2, 1, 1, 1, 6, 2, 3, 15, 2, 1, 1, 140) ]
sqrt(4985) = [ 70; (1, 1, 1, 1, 8, 4, 2, 3, 1, 1, 2, 3, 7, 7, 3, 2, 1, 1, 3, 2, 4, 8, 1, 1, 1, 1, 140) ]
sqrt(4986) = [ 70; (1, 1, 1, 1, 2, 1, 5, 2, 2, 1, 1, 5, 15, 1, 1, 19, 1, 1, 1, 13, 2, 5, 1, 14, 1, 5, 2, 13, 1, 1, 1, 19, 1, 1, 15, 5, 1, 1, 2, 2, 5, 1, 2, 1, 1, 1, 1, 140) ]
sqrt(4987) = [ 70; (1, 1, 1, 1, 1, 1, 1, 5, 1, 4, 46, 1, 6, 1, 6, 1, 1, 3, 1, 2, 1, 14, 1, 22, 1, 1, 1, 1, 12, 4, 4, 1, 69, 1, 4, 4, 12, 1, 1, 1, 1, 22, 1, 14, 1, 2, 1, 3, 1, 1, 6, 1, 6, 1, 46, 4, 1, 5, 1, 1, 1, 1, 1, 1, 1, 140) ]
sqrt(4988) = [ 70; (1, 1, 1, 2, 19, 1, 4, 10, 1, 1, 1, 34, 1, 1, 1, 10, 4, 1, 19, 2, 1, 1, 1, 140) ]
sqrt(4989) = [ 70; (1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 6, 1, 2, 7, 11, 1, 1, 1, 2, 1, 27, 1, 1, 8, 1, 9, 1, 34, 2, 2, 4, 2, 7, 1, 6, 5, 1, 1, 46, 1, 1, 5, 6, 1, 7, 2, 4, 2, 2, 34, 1, 9, 1, 8, 1, 1, 27, 1, 2, 1, 1, 1, 11, 7, 2, 1, 6, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 140) ]
sqrt(4990) = [ 70; (1, 1, 1, 3, 2, 23, 9, 2, 1, 1, 1, 15, 14, 15, 1, 1, 1, 2, 9, 23, 2, 3, 1, 1, 1, 140) ]
sqrt(4991) = [ 70; (1, 1, 1, 4, 1, 69, 1, 4, 1, 1, 1, 140) ]
sqrt(4992) = [ 70; (1, 1, 1, 8, 6, 35, 6, 8, 1, 1, 1, 140) ]
sqrt(4993) = [ 70; (1, 1, 1, 19, 1, 1, 10, 2, 1, 3, 1, 2, 1, 5, 6, 1, 1, 4, 46, 1, 7, 1, 5, 1, 5, 3, 2, 4, 1, 4, 17, 2, 5, 2, 2, 15, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 15, 2, 2, 5, 2, 17, 4, 1, 4, 2, 3, 5, 1, 5, 1, 7, 1, 46, 4, 1, 1, 6, 5, 1, 2, 1, 3, 1, 2, 10, 1, 1, 19, 1, 1, 1, 140) ]
sqrt(4994) = [ 70; (1, 2, 70, 2, 1, 140) ]
sqrt(4995) = [ 70; (1, 2, 12, 1, 1, 15, 5, 2, 1, 2, 5, 15, 1, 1, 12, 2, 1, 140) ]
sqrt(4996) = [ 70; (1, 2, 6, 1, 2, 1, 3, 5, 2, 1, 1, 2, 1, 1, 4, 1, 1, 1, 8, 1, 3, 1, 1, 11, 4, 2, 8, 1, 46, 4, 2, 1, 1, 10, 3, 1, 1, 7, 1, 2, 1, 14, 1, 27, 2, 1, 34, 1, 2, 27, 1, 14, 1, 2, 1, 7, 1, 1, 3, 10, 1, 1, 2, 4, 46, 1, 8, 2, 4, 11, 1, 1, 3, 1, 8, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 5, 3, 1, 2, 1, 6, 2, 1, 140) ]
sqrt(4997) = [ 70; (1, 2, 4, 1, 1, 5, 1, 1, 2, 7, 1, 11, 1, 34, 2, 2, 1, 2, 1, 1, 2, 1, 6, 1, 2, 1, 1, 2, 1, 2, 2, 34, 1, 11, 1, 7, 2, 1, 1, 5, 1, 1, 4, 2, 1, 140) ]
sqrt(4998) = [ 70; (1, 2, 3, 2, 1, 1, 2, 2, 2, 1, 1, 2, 3, 2, 1, 140) ]
sqrt(4999) = [ 70; (1, 2, 2, 1, 2, 13, 1, 3, 2, 1, 4, 1, 1, 5, 9, 4, 19, 1, 22, 1, 1, 1, 1, 1, 1, 2, 1, 1, 8, 1, 5, 1, 1, 7, 3, 6, 2, 2, 2, 2, 1, 2, 1, 1, 1, 15, 12, 1, 3, 1, 3, 1, 3, 4, 46, 1, 9, 8, 4, 1, 1, 2, 3, 1, 1, 1, 5, 1, 1, 27, 1, 2, 1, 5, 1, 69, 1, 5, 1, 2, 1, 27, 1, 1, 5, 1, 1, 1, 3, 2, 1, 1, 4, 8, 9, 1, 46, 4, 3, 1, 3, 1, 3, 1, 12, 15, 1, 1, 1, 2, 1, 2, 2, 2, 2, 6, 3, 7, 1, 1, 5, 1, 8, 1, 1, 2, 1, 1, 1, 1, 1, 1, 22, 1, 19, 4, 9, 5, 1, 1, 4, 1, 2, 3, 1, 13, 2, 1, 2, 2, 1, 140) ]
sqrt(5000) = [ 70; (1, 2, 2, 5, 4, 2, 1, 1, 1, 5, 35, 5, 1, 1, 1, 2, 4, 5, 2, 2, 1, 140) ]
sqrt(5001) = [ 70; (1, 2, 1, 1, 5, 3, 9, 8, 1, 2, 1, 2, 1, 3, 1, 4, 1, 6, 1, 1, 1, 1, 1, 1, 3, 1, 4, 10, 1, 2, 27, 1, 16, 1, 2, 1, 1, 46, 1, 1, 2, 1, 16, 1, 27, 2, 1, 10, 4, 1, 3, 1, 1, 1, 1, 1, 1, 6, 1, 4, 1, 3, 1, 2, 1, 2, 1, 8, 9, 3, 5, 1, 1, 2, 1, 140) ]
sqrt(5002) = [ 70; (1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 140) ]
sqrt(5003) = [ 70; (1, 2, 1, 2, 1, 2, 2, 1, 12, 6, 2, 1, 5, 2, 6, 1, 69, 1, 6, 2, 5, 1, 2, 6, 12, 1, 2, 2, 1, 2, 1, 2, 1, 140) ]
sqrt(5004) = [ 70; (1, 2, 1, 4, 1, 10, 17, 1, 1, 2, 4, 1, 5, 2, 1, 34, 1, 2, 5, 1, 4, 2, 1, 1, 17, 10, 1, 4, 1, 2, 1, 140) ]
sqrt(5005) = [ 70; (1, 2, 1, 14, 1, 34, 2, 3, 2, 3, 2, 34, 1, 14, 1, 2, 1, 140) ]
sqrt(5006) = [ 70; (1, 3, 19, 1, 27, 2, 1, 5, 1, 3, 5, 5, 2, 7, 1, 6, 1, 1, 3, 3, 2, 3, 1, 2, 1, 2, 10, 1, 1, 12, 2, 1, 13, 2, 9, 1, 1, 1, 2, 70, 2, 1, 1, 1, 9, 2, 13, 1, 2, 12, 1, 1, 10, 2, 1, 2, 1, 3, 2, 3, 3, 1, 1, 6, 1, 7, 2, 5, 5, 3, 1, 5, 1, 2, 27, 1, 19, 3, 1, 140) ]
sqrt(5007) = [ 70; (1, 3, 5, 1, 9, 3, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 46, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 9, 1, 5, 3, 1, 140) ]
sqrt(5008) = [ 70; (1, 3, 3, 2, 1, 1, 1, 3, 1, 1, 1, 15, 11, 1, 2, 1, 2, 2, 8, 2, 2, 1, 2, 1, 11, 15, 1, 1, 1, 3, 1, 1, 1, 2, 3, 3, 1, 140) ]
sqrt(5009) = [ 70; (1, 3, 2, 3, 10, 1, 1, 2, 19, 1, 4, 1, 2, 2, 5, 1, 2, 1, 2, 3, 1, 2, 8, 2, 17, 4, 1, 1, 27, 1, 3, 12, 1, 1, 1, 1, 1, 1, 12, 3, 1, 27, 1, 1, 4, 17, 2, 8, 2, 1, 3, 2, 1, 2, 1, 5, 2, 2, 1, 4, 1, 19, 2, 1, 1, 10, 3, 2, 3, 1, 140) ]
sqrt(5010) = [ 70; (1, 3, 1, 1, 2, 1, 8, 1, 2, 1, 1, 3, 1, 140) ]
sqrt(5011) = [ 70; (1, 3, 1, 2, 1, 1, 1, 7, 1, 2, 3, 1, 4, 2, 8, 1, 69, 1, 8, 2, 4, 1, 3, 2, 1, 7, 1, 1, 1, 2, 1, 3, 1, 140) ]
sqrt(5012) = [ 70; (1, 3, 1, 8, 20, 8, 1, 3, 1, 140) ]
sqrt(5013) = [ 70; (1, 4, 15, 1, 1, 6, 1, 14, 1, 6, 1, 1, 15, 4, 1, 140) ]
sqrt(5014) = [ 70; (1, 4, 3, 1, 27, 1, 1, 3, 1, 1, 6, 5, 1, 1, 19, 1, 2, 5, 9, 3, 1, 14, 1, 46, 3, 1, 2, 2, 1, 1, 8, 1, 5, 1, 5, 1, 1, 2, 1, 1, 5, 1, 5, 1, 8, 1, 1, 2, 2, 1, 3, 46, 1, 14, 1, 3, 9, 5, 2, 1, 19, 1, 1, 5, 6, 1, 1, 3, 1, 1, 27, 1, 3, 4, 1, 140) ]
sqrt(5015) = [ 70; (1, 4, 2, 4, 1, 140) ]
sqrt(5016) = [ 70; (1, 4, 1, 2, 17, 2, 1, 4, 1, 140) ]
sqrt(5017) = [ 70; (1, 4, 1, 10, 15, 1, 1, 1, 5, 4, 8, 1, 1, 1, 1, 2, 5, 1, 3, 2, 4, 2, 3, 1, 5, 2, 1, 1, 1, 1, 8, 4, 5, 1, 1, 1, 15, 10, 1, 4, 1, 140) ]
sqrt(5018) = [ 70; (1, 5, 5, 1, 140) ]
sqrt(5019) = [ 70; (1, 5, 2, 4, 3, 1, 4, 1, 2, 5, 3, 5, 2, 1, 4, 1, 3, 4, 2, 5, 1, 140) ]
sqrt(5020) = [ 70; (1, 5, 1, 3, 12, 1, 1, 1, 1, 1, 6, 1, 5, 28, 5, 1, 6, 1, 1, 1, 1, 1, 12, 3, 1, 5, 1, 140) ]
sqrt(5021) = [ 70; (1, 6, 10, 1, 3, 7, 4, 1, 12, 12, 1, 4, 7, 3, 1, 10, 6, 1, 140) ]
sqrt(5022) = [ 70; (1, 6, 2, 6, 1, 140) ]
sqrt(5023) = [ 70; (1, 6, 1, 7, 2, 6, 3, 1, 1, 2, 1, 4, 5, 1, 19, 2, 2, 3, 2, 3, 46, 1, 22, 1, 1, 1, 4, 1, 1, 2, 2, 1, 9, 2, 2, 1, 1, 1, 1, 6, 7, 3, 4, 3, 1, 14, 1, 69, 1, 14, 1, 3, 4, 3, 7, 6, 1, 1, 1, 1, 2, 2, 9, 1, 2, 2, 1, 1, 4, 1, 1, 1, 22, 1, 46, 3, 2, 3, 2, 2, 19, 1, 5, 4, 1, 2, 1, 1, 3, 6, 2, 7, 1, 6, 1, 140) ]
sqrt(5024) = [ 70; (1, 7, 2, 1, 8, 5, 1, 1, 4, 35, 4, 1, 1, 5, 8, 1, 2, 7, 1, 140) ]
sqrt(5025) = [ 70; (1, 7, 1, 6, 1, 1, 2, 1, 12, 5, 1, 4, 1, 5, 12, 1, 2, 1, 1, 6, 1, 7, 1, 140) ]
sqrt(5026) = [ 70; (1, 8, 2, 5, 1, 2, 4, 4, 2, 70, 2, 4, 4, 2, 1, 5, 2, 8, 1, 140) ]
sqrt(5027) = [ 70; (1, 9, 7, 2, 1, 3, 19, 1, 69, 1, 19, 3, 1, 2, 7, 9, 1, 140) ]
sqrt(5028) = [ 70; (1, 9, 1, 10, 1, 9, 1, 140) ]
sqrt(5029) = [ 70; (1, 10, 1, 4, 1, 3, 9, 5, 6, 1, 8, 1, 1, 2, 6, 1, 2, 3, 2, 15, 3, 11, 2, 34, 1, 46, 3, 3, 1, 1, 1, 1, 3, 1, 27, 1, 1, 2, 1, 1, 27, 1, 3, 1, 1, 1, 1, 3, 3, 46, 1, 34, 2, 11, 3, 15, 2, 3, 2, 1, 6, 2, 1, 1, 8, 1, 6, 5, 9, 3, 1, 4, 1, 10, 1, 140) ]
sqrt(5030) = [ 70; (1, 11, 1, 9, 4, 1, 3, 1, 3, 2, 1, 1, 1, 2, 2, 5, 28, 5, 2, 2, 1, 1, 1, 2, 3, 1, 3, 1, 4, 9, 1, 11, 1, 140) ]
sqrt(5031) = [ 70; (1, 13, 5, 5, 2, 10, 2, 5, 5, 13, 1, 140) ]
sqrt(5032) = [ 70; (1, 14, 1, 3, 2, 1, 3, 4, 35, 4, 3, 1, 2, 3, 1, 14, 1, 140) ]
sqrt(5033) = [ 70; (1, 16, 1, 2, 1, 8, 8, 4, 3, 4, 1, 1, 2, 2, 7, 20, 7, 2, 2, 1, 1, 4, 3, 4, 8, 8, 1, 2, 1, 16, 1, 140) ]
sqrt(5034) = [ 70; (1, 19, 3, 1, 1, 2, 3, 13, 1, 8, 1, 1, 7, 1, 4, 1, 1, 2, 1, 4, 1, 22, 1, 4, 1, 2, 1, 1, 4, 1, 7, 1, 1, 8, 1, 13, 3, 2, 1, 1, 3, 19, 1, 140) ]
sqrt(5035) = [ 70; (1, 22, 1, 1, 1, 15, 9, 2, 1, 1, 13, 1, 1, 2, 9, 15, 1, 1, 1, 22, 1, 140) ]
sqrt(5036) = [ 70; (1, 27, 2, 1, 1, 5, 12, 1, 2, 1, 1, 1, 1, 1, 17, 8, 3, 2, 2, 1, 3, 1, 6, 1, 2, 6, 1, 2, 1, 34, 1, 2, 1, 6, 2, 1, 6, 1, 3, 1, 2, 2, 3, 8, 17, 1, 1, 1, 1, 1, 2, 1, 12, 5, 1, 1, 2, 27, 1, 140) ]
sqrt(5037) = [ 70; (1, 34, 2, 34, 1, 140) ]
sqrt(5038) = [ 70; (1, 46, 3, 15, 2, 3, 1, 4, 2, 12, 2, 4, 1, 3, 2, 15, 3, 46, 1, 140) ]
sqrt(5039) = [ 70; (1, 69, 1, 140) ]
sqrt(5040) = [ 70; (1, 140) ]
sqrt(5042) = [ 71; (142) ]
sqrt(5043) = [ 71; (71, 142) ]
sqrt(5044) = [ 71; (47, 2, 1, 15, 8, 1, 4, 2, 1, 2, 3, 1, 2, 5, 3, 8, 1, 1, 3, 2, 2, 1, 1, 11, 3, 1, 34, 1, 3, 11, 1, 1, 2, 2, 3, 1, 1, 8, 3, 5, 2, 1, 3, 2, 1, 2, 4, 1, 8, 15, 1, 2, 47, 142) ]
sqrt(5045) = [ 71; (35, 1, 1, 35, 142) ]
sqrt(5046) = [ 71; (28, 2, 2, 5, 3, 1, 1, 4, 5, 1, 22, 1, 5, 4, 1, 1, 3, 5, 2, 2, 28, 142) ]
sqrt(5047) = [ 71; (23, 1, 2, 15, 2, 4, 2, 2, 2, 4, 2, 15, 2, 1, 23, 142) ]
sqrt(5048) = [ 71; (20, 3, 2, 2, 2, 7, 1, 16, 1, 7, 2, 2, 2, 3, 20, 142) ]
sqrt(5049) = [ 71; (17, 1, 3, 8, 1, 1, 1, 2, 4, 15, 1, 1, 3, 1, 1, 5, 8, 5, 1, 1, 3, 1, 1, 15, 4, 2, 1, 1, 1, 8, 3, 1, 17, 142) ]
sqrt(5050) = [ 71; (15, 1, 3, 1, 1, 1, 5, 23, 1, 1, 23, 5, 1, 1, 1, 3, 1, 15, 142) ]
sqrt(5051) = [ 71; (14, 4, 1, 4, 1, 7, 1, 1, 6, 1, 19, 2, 3, 1, 1, 2, 1, 9, 2, 3, 3, 1, 3, 2, 2, 2, 2, 28, 71, 28, 2, 2, 2, 2, 3, 1, 3, 3, 2, 9, 1, 2, 1, 1, 3, 2, 19, 1, 6, 1, 1, 7, 1, 4, 1, 4, 14, 142) ]
sqrt(5052) = [ 71; (12, 1, 10, 1, 12, 142) ]
sqrt(5053) = [ 71; (11, 1, 5, 3, 1, 3, 1, 1, 4, 1, 2, 2, 2, 3, 4, 3, 2, 2, 2, 1, 4, 1, 1, 3, 1, 3, 5, 1, 11, 142) ]
sqrt(5054) = [ 71; (10, 1, 13, 3, 4, 3, 1, 4, 1, 12, 10, 12, 1, 4, 1, 3, 4, 3, 13, 1, 10, 142) ]
sqrt(5055) = [ 71; (10, 6, 1, 2, 23, 2, 1, 6, 10, 142) ]
